Samples	SBS96A
P-0000069-T01-IM3	0.00E+00
P-0000448-T01-IM3	0.00E+00
P-0000558-T01-IM3	0.00E+00
P-0001248-T01-IM3	0.00E+00
P-0002280-T01-IM3	0.00E+00
P-0003014-T01-IM3	0.00E+00
P-0003767-T01-IM5	0.00E+00
P-0004136-T01-IM5	0.00E+00
P-0004379-T01-IM5	0.00E+00
P-0005285-T01-IM5	0.00E+00
P-0007675-T01-IM5	0.00E+00
P-0008444-T01-IM5	0.00E+00
P-0008646-T01-IM5	0.00E+00
P-0009585-T01-IM5	0.00E+00
P-0009985-T01-IM5	0.00E+00
P-0010828-T01-IM5	0.00E+00
P-0011013-T01-IM5	0.00E+00
P-0012152-T01-IM5	0.00E+00
P-0012358-T01-IM5	0.00E+00
P-0012740-T01-IM5	0.00E+00
P-0013112-T02-IM6	0.00E+00
P-0014023-T01-IM5	0.00E+00
P-0014145-T01-IM5	0.00E+00
P-0014170-T01-IM5	0.00E+00
P-0016053-T01-IM6	0.00E+00
P-0017300-T01-IM6	0.00E+00
P-0019071-T01-IM6	0.00E+00
P-0021692-T01-IM6	0.00E+00
P-0021856-T01-IM6	0.00E+00
P-0025003-T01-IM6	0.00E+00
P-0025701-T01-IM6	0.00E+00
P-0026221-T01-IM6	0.00E+00
P-0026297-T01-IM6	0.00E+00
P-0027698-T01-IM6	0.00E+00
P-0028034-T01-IM6	0.00E+00
P-0028141-T01-IM6	0.00E+00
P-0028144-T01-IM6	0.00E+00
P-0028200-T01-IM6	0.00E+00
P-0028472-T01-IM6	0.00E+00
P-0028924-T01-IM6	0.00E+00
P-0029429-T01-IM6	0.00E+00
P-0029983-T01-IM6	0.00E+00
P-0030322-T01-IM6	0.00E+00
P-0032456-T01-IM6	0.00E+00
P-0032495-T01-IM6	0.00E+00
P-0033467-T01-IM6	0.00E+00
P-0033583-T01-IM6	0.00E+00
P-0038304-T01-IM6	0.00E+00
P-0038424-T01-IM6	0.00E+00
P-0039004-T01-IM6	0.00E+00
P-0039184-T01-IM6	0.00E+00
P-0039294-T01-IM6	0.00E+00
P-0040471-T01-IM6	0.00E+00
P-0040549-T01-IM6	0.00E+00
P-0040823-T01-IM6	0.00E+00
P-0041596-T01-IM6	0.00E+00
P-0042508-T01-IM6	0.00E+00
P-0042819-T01-IM6	0.00E+00
P-0045533-T01-IM6	0.00E+00
P-0047379-T01-IM6	0.00E+00
P-0048289-T01-IM6	0.00E+00
P-0050149-T01-IM6	0.00E+00
